fiscal_year,agency,total_revenue,federal_revenue,federal_dependency_pct
2023,BOARD OF CHIROPRACTIC EXAMINERS,645904.9800,,
2023,SUPREME COURT,119742310.3300,760113.5500,0.634791117613473
2023,ARIZONA COMMERCE AUTHORITY,50194864.1200,,
2023,DEPT OF EMERGENCY AND MILITARY AFFAIRS,637920441.7400,71937280.3100,11.276842001454437
2023,BOARD OF BEHAVIORAL HEALTH EXAMINERS,2869825.9900,,
2023,BOARD OF PODIATRY EXAMINERS,214981.4800,,
2023,ARIZONA STATE UNIVERSITY,110732850.5500,,
2023,WATER INFRASTRUCTURE FINANCE AUTHORITY OF ARIZONA,53499490.7200,950557.7800,1.7767604274495419
2024,DEPT OF ADMINISTRATION,1787917626.5900,399022.2000,0.02231770603218638
2024,BOARD OF OSTEOPATHIC EXAMINERS,1829790.9300,,
2025,DEPT OF AGRICULTURE,37507761.1000,6330663.4300,16.878275973662422
2025,DEPT OF TRANSPORTATION,4856236536.0600,1027290704.8700,21.154049998220835
2025,DEPT OF GAMING,231494691.9700,,
2025,SECRETARY OF STATE (DEPT OF STATE),14267066.7000,5152444.8400,36.114254936510534
2025,BOARD FOR PRIVATE POSTSECONDARY EDU,1011894.8800,,
2025,BOARD OF EXAM NURSING CARE,676537.2300,,
2025,BOARD OF EDUCATION,0.0000,,
2016,SENATE,4745.5500,,
2018,BOARD OF EXECUTIVE CLEMENCY,42054.9400,,
2018,BOARD FOR CHARTER SCHOOLS,75517.2500,,
2021,COMPANION ANIMAL SPAY/NEUTER COMMITTEE,442274.6200,,
2016,BOARD OF EDUCATION,326186.0000,,
2021,AFRICAN-AMERICAN AFFAIRS,3000.0000,,
2016,BOARD OF FUNERAL DIRECTORS AND EMBALMERS,417067.5200,,
2016,GOVERNOR'S OFFICE,21596837.9300,10206340.9400,47.258496697900625
2016,REAL ESTATE DEPARTMENT,4191685.5100,,
2016,COURT OF APPEALS,219170.2600,,
2017,CRIMINAL JUSTICE COMMISSION,18183132.7400,6650086.8800,36.57283359852985
2017,COMMISSION FOR DEAF AND HARD OF HEARING,5411393.3900,,
2017,AFRICAN-AMERICAN AFFAIRS,7275.0000,,
2017,AUDITOR GENERAL,2445623.3600,,
2018,ARIZONA HISTORICAL SOCIETY,1198087.6500,,
2018,DEPT OF WATER RESOURCES,19367751.2600,349045.8100,1.8022010160822355
2018,BOARD OF NURSING,5209506.4100,,
2018,CITIZENS CLEAN ELECTION COMMISSION,7454983.4900,,
2018,BOARD OF BARBERS,462561.1800,,
2019,BOARD OF DENTAL EXAMINERS,977383.9000,,
2019,DEPT OF JUVENILE CORRECTIONS,16751835.9900,,
2019,ACUPUNCTURE BOARD OF EXAMINERS,192918.1800,,
2019,SCHOOLS FOR THE DEAF AND THE BLIND,32171704.9100,1035829.8700,3.2196921888278007
2019,STATEWIDE SYSTEMS PROCESSING,437801063.1900,11390.0200,0.0026016428368189864
2019,GOVERNOR'S OFFICE ON TRIBAL RELATIONS,28225.0000,,
2020,DEPT OF HEALTH SERVICES,506957100.6300,244892555.2800,48.306366549688306
2020,BOARD OF ACCOUNTANCY,1867171.1100,,
2020,RETIREE ACCUMULATED SICK LEAVE,16122424.8700,,
2020,BOARD OF FINGERPRINTING,-1734516.0000,,
2020,PIONEERS' HOME,12167576.4300,,
2020,BOARD OF HOMEOPATHIC EXAMINERS,65927.0000,,
2021,DEPT OF VETERANS SERVICES,64361464.3200,29647406.9500,46.0639099237946
2021,DEPT OF FINANCIAL INSTITUTIONS,-41978442.2400,,
2021,COTTON RESEARCH AND PROTECTION COUNCIL,4645259.3900,499264.5000,10.747828228382312
2021,ARIZONA STATE RETIREMENT SYSTEM (ASRS),85970690.5300,,
2021,BOARD OF RESPIRATORY CARE EXAMINERS,400288.7000,,
2021,BOARD OF MASSAGE THERAPY,446044.9900,,
2023,DEPT OF REVENUE,11564027526.7800,,
2023,MEDICAL BOARD,9517241.3400,,
2023,OFFICE OF ECONOMIC OPPORTUNITY,9806905.8000,4579157.4800,46.69319328018833
2024,BOARD OF TECHNICAL REGISTRATION,3455917.0400,,
2024,BOARD OF REGENTS,352293395.9600,,
2024,GOVERNOR'S OFFICE OF HIGHWAY SAFETY,12496035.8700,10454410.4600,83.66181538497777
2024,OFFICE OF TOURISM,49915960.0500,,
2025,DEPT OF INSURANCE AND FINANCIAL INSTITUTIONS,978489690.5700,31276.1900,0.003196373993657579
2025,GOVERNOR'S OFFICE,133902930.8700,93679035.2200,69.96040684945763
2025,REAL ESTATE DEPARTMENT,3604900.1900,,
2025,BOARD OF FUNERAL DIRECTORS AND EMBALMERS,110352.9200,,
2025,COURT OF APPEALS,215659.1200,,
2019,BOARD OF EXECUTIVE CLEMENCY,-9918.0700,,
2019,BOARD FOR CHARTER SCHOOLS,83740.0000,,
2020,PARENTS COMMISSION DRUG EDU,5048673.7300,,
2020,PUBLIC SAFETY PERSONNEL RETIREMENT SYSTEM,12434453.0700,,
2020,COMMISSION ON THE ARTS,4565542.7000,841400.0000,18.429353426045058
2017,WATER INFRASTRUCTURE FINANCE AUTHORITY,-298904226.6200,34084.9800,-0.011403311483892994
2023,BOARD OF EQUALIZATION,6048.7400,,
2016,JOINT LEGISATIVE BUDGET COMMITTEE,0.0000,,
2021,OFFICE OF EQUAL OPPORTUNITY,197700.0000,,
2016,WEIGHTS AND MEASURES,4886879.4600,,
2016,GOVERNOR'S OFFICE OF HIGHWAY SAFETY,11517715.8000,9382858.0700,81.46457364402063
2016,BOARD OF TECHNICAL REGISTRATION,3255313.0200,,
2016,OFFICE OF TOURISM,21518626.5600,,
2016,GEOLOGICAL SURVEY,3521730.9600,2479621.1000,70.40915754677637
2016,BOARD OF REGENTS,196663559.2100,,
2017,STATE TREASURER,149300408.6400,0.0000,0.0
2017,UNIVERSITY OF ARIZONA,450986331.9900,,
2018,SUPREME COURT,91253621.9800,850236.2600,0.931728781336861
2018,DEPT OF PUBLIC SAFETY,493572006.6300,39623514.0500,8.027909508187175
2018,REGISTRAR OF CONTRACTORS,14044299.8400,,
2018,BOARD OF PHARMACY,6022790.1700,209469.0900,3.4779410221425664
2018,BOARD OF COSMETOLOGY,4612546.0800,,
2018,DEPT OF HOUSING,97511965.2300,79125846.0200,81.14475575727252
2018,PARKS BOARD,38388225.7400,908162.0700,2.3657307741985782
2018,DEPT OF ECONOMIC SECURITY,2316960893.6200,2125832138.5800,91.75088558610146
2018,DEPT OF INSURANCE,527663040.5500,149431.5000,0.0283194934108409
2018,DEPT OF EMERGENCY AND MILITARY AFFAIRS,68174679.3100,47217411.2300,69.25945484143121
2018,BOARD OF BEHAVIORAL HEALTH EXAMINERS,2299222.7700,,
2018,DEPT OF LIQUOR LICENSES AND CONTROL,9552914.3200,,
2018,BOARD OF PODIATRY EXAMINERS,165029.6200,,
2018,BOARD OF CHIROPRACTIC EXAMINERS,498526.8600,,
2018,ARIZONA STATE UNIVERSITY,680174583.0000,,
2018,ARIZONA COMMERCE AUTHORITY,26190713.4300,,
2019,DEPT OF REVENUE,10116690229.6100,,
2019,MEDICAL BOARD,8175796.0300,,
2019,OFFICE OF ECONOMIC OPPORTUNITY,5934412.8000,2044211.6600,34.44673852145911
2019,AUTOMOBILE THEFT AUTHORITY,6654826.7800,,
2020,AHCCCS,13510782896.2800,11616775437.9700,85.98151215329284
2020,GAME AND FISH DEPARTMENT,132854507.0300,40044563.4600,30.141667268358084
2020,LOTTERY COMMISSION,784705467.0900,,
2020,OFFICE OF ADMINISTRATIVE HEARINGS,736667.9100,,
2020,SCHOOL FACILITIES BOARD,423814542.5800,,
2020,NATUROPATHIC PHYSICIANS MEDICAL BOARD,300416.6300,,
2021,ATTORNEY GENERAL (DEPT OF LAW),139669149.4600,4981120.9300,3.5663716355819495
2021,DEPT OF EDUCATION,2830995955.1600,1458028269.8400,51.50230847848726
2021,DEPT OF ENVIRONMENTAL QUALITY,132632973.8700,17338854.1500,13.072808098983478
2021,CORPORATION COMMISSION,72508018.3000,1577980.0300,2.176283488360073
2021,EARLY CHILDHOOD DEVELOP AND HEALTH BOARD,125284921.2700,,
2021,BOARD OF OPTOMETRY,298089.5700,,
2021,DEPT OF CHILD SAFETY,695650838.5700,575178788.0700,82.68210949797087
2021,DEPT OF HOMELAND SECURITY,23260937.7500,23260937.7500,100.0
2021,BOARD OF DISPENSING OPTICIANS,184430.1800,,
2021,MINE INSPECTOR,395590.3200,309086.7700,78.1330468349175
2021,EXPOSITION AND STATE FAIR BOARD,2597359.5100,,
2023,BOARD OF DENTAL EXAMINERS,1779667.3300,,
2023,ACUPUNCTURE BOARD OF EXAMINERS,203126.3900,,
2021,PERSONNEL BOARD,572572.8500,,
2023,DEPT OF JUVENILE CORRECTIONS,15092069.4400,,
2023,STATEWIDE SYSTEMS PROCESSING,308452140.6600,0.0000,0.0
2023,SCHOOLS FOR THE DEAF AND THE BLIND,38820949.2000,1195262.1000,3.078910033451732
2023,BOARD OF EXECUTIVE CLEMENCY,24745.1700,,
2024,DEPT OF INSURANCE AND FINANCIAL INSTITUTIONS,864797955.1400,29351.8300,0.003394067923674531
2024,GOVERNOR'S OFFICE,107188325.8000,74275880.3500,69.2947480946661
2024,REAL ESTATE DEPARTMENT,3632015.2200,,
2024,BOARD OF FUNERAL DIRECTORS AND EMBALMERS,399221.1100,,
2024,COURT OF APPEALS,177128.0400,,
2025,BOARD OF TECHNICAL REGISTRATION,3476137.9600,,
2025,GOVERNOR'S OFFICE OF HIGHWAY SAFETY,13231352.1800,11110789.2400,83.9731955498444
2025,BOARD OF REGENTS,330853712.2700,,
2025,OFFICE OF TOURISM,42855336.0500,1897422.0600,4.42750479843688
2019,BOARD OF EQUALIZATION,15593.7900,,
2020,NORTHERN ARIZONA UNIVERSITY,4656435.0000,,
2023,GOVERNOR'S OFFICE ON TRIBAL RELATIONS,45900.0000,,
2023,BOARD FOR CHARTER SCHOOLS,438017.0000,,
2020,LEGISLATIVE COUNCIL,845.2400,,
2025,HOUSE OF REPRESENTATIVES,1540.3700,,
2016,HOUSE OF REPRESENTATIVES,1000.0000,,
2016,BOARD OF DENTAL EXAMINERS,1894259.5800,,
2016,DEPT OF JUVENILE CORRECTIONS,18497128.6600,189982.5300,1.0270920070466765
2016,ACUPUNCTURE BOARD OF EXAMINERS,179130.0000,,
2016,SCHOOLS FOR THE DEAF AND THE BLIND,30942800.9000,803327.9400,2.596170729974222
2016,STATEWIDE SYSTEMS PROCESSING,508244871.9300,,
2017,LOTTERY COMMISSION,444566423.4200,,
2017,OFFICE OF ADMINISTRATIVE HEARINGS,926197.5400,,
2017,AHCCCS,10740141702.1300,9288505890.4200,86.4840162078857
2017,GAME AND FISH DEPARTMENT,122189669.8800,35837849.5400,29.32968848773847
2017,NATUROPATHIC PHYSICIANS MEDICAL BOARD,419993.3000,,
2017,LEGISLATIVE COUNCIL,251878.3500,,
2017,SCHOOL FACILITIES BOARD,315564192.5300,,
2018,DEPT OF AGRICULTURE,21755298.3700,4978337.0800,22.883331661702233
2018,DEPT OF TRANSPORTATION,3053634594.0900,824305397.2900,26.994238239419982
2018,BOARD OF EXAM NURSING CARE,442145.6600,,
2018,SECRETARY OF STATE (DEPT OF STATE),15393933.4900,11356876.7800,73.77501525115397
2018,ARIZONA FINANCE AUTHORITY,124963526.8500,22096075.5300,17.68201977567665
2018,RADIATION REGULATORY AGENCY,3182850.2900,90760.2000,2.851538455489215
2018,DEPT OF GAMING,15174484.0100,,
2018,BOARD FOR PRIVATE POSTSECONDARY EDU,592264.5900,,
2019,COURT OF APPEALS,202265.6300,,
2019,REAL ESTATE DEPARTMENT,4268882.3400,,
2019,BOARD OF FUNERAL DIRECTORS AND EMBALMERS,524727.9800,,
2019,GOVERNOR'S OFFICE,36178086.9500,10696613.6200,29.566554015924822
2020,STATE TREASURER,611559748.9100,0.0000,0.0
2020,UNIVERSITY OF ARIZONA,13916645.9900,,
2021,INDUSTRIAL COMMISSION,54642729.6200,3440801.3800,6.296906109794008
2021,BOARD OF PSYCHOLOGIST EXAMINERS,743997.4200,,
2021,BOARD OF ATHLETIC TRAINING,144256.9800,,
2021,BOARD OF OCCUPATIONAL THERAPY EXAMINERS,259686.3500,,
2021,CONSTABLE ETHICS STANDARDS AND TRAINING BOARD,316203.4900,,
2023,BOARD OF TECHNICAL REGISTRATION,3374048.5700,,
2023,BOARD OF REGENTS,303107239.9400,,
2023,GOVERNOR'S OFFICE OF HIGHWAY SAFETY,15913748.8200,14101454.9700,88.61177293610193
2023,OFFICE OF TOURISM,45893337.1700,2732674.4800,5.954403511510862
2024,DEPT OF REVENUE,13018300735.7200,,
2024,MEDICAL BOARD,10579554.7400,,
2024,OFFICE OF ECONOMIC OPPORTUNITY,32834852.2600,8726520.3800,26.57700516177075
2025,BOARD OF DENTAL EXAMINERS,2200043.3200,,
2025,DEPT OF JUVENILE CORRECTIONS,14164484.7200,,
2025,BOARD FOR CHARTER SCHOOLS,103600.0000,,
2025,STATEWIDE SYSTEMS PROCESSING,248206505.4600,,
2025,ACUPUNCTURE BOARD OF EXAMINERS,239674.6100,,
2025,SCHOOLS FOR THE DEAF AND THE BLIND,42094624.6400,1815731.3100,4.313451718665807
2025,GOVERNOR'S OFFICE ON TRIBAL RELATIONS,94100.0000,,
2017,NORTHERN ARIZONA UNIVERSITY,147361273.0000,,
2025,BOARD OF EXECUTIVE CLEMENCY,28094.7900,,
2016,GOVERNOR'S OFFICE ON TRIBAL RELATIONS,16000.0000,,
2018,"DEPT OF FIRE\, BUILDING AND LIFE SAFETY",1629973.4800,,
2016,BOARD OF EXECUTIVE CLEMENCY,44542.8500,,
2016,BOARD FOR CHARTER SCHOOLS,97289.5000,,
2021,RESIDENTIAL UTILITY CONSUMER OFFICE,1349570.9600,,
2024,BOARD OF EQUALIZATION,3840.0600,,
2016,BOARD OF MASSAGE THERAPY,647649.0000,,
2016,DEPT OF FINANCIAL INSTITUTIONS,13107998.6600,,
2016,DEPT OF VETERANS SERVICES,34777110.1700,5306626.8800,15.258964456965401
2016,BOARD OF RESPIRATORY CARE EXAMINERS,319201.3600,,
2016,COTTON RESEARCH AND PROTECTION COUNCIL,2942083.9400,384296.0000,13.062033845302183
2016,ARIZONA STATE RETIREMENT SYSTEM (ASRS),88313245.8000,,
