fiscal_year,agency,top_vendor,top_vendor_pct,agency_total
2017,BOARD OF REGENTS,ARIZONA STATE UNIVERSITY,19.7,224612059.5800
2016,UNIVERSITY OF ARIZONA,THE UNIVERSITY OF ARIZONA,39.6,841035419.8600
2016,DEPT OF TRANSPORTATION,U S BANK NATIONAL ASSOCIATION,18.6,1584948191.1900
2023,SUPREME COURT,PIMA COUNTY,15.6,128163955.0600
2023,DEPT OF HOUSING,FLAGSTAFF SHELTER SERVICES INC,3.2,284951984.1500
2023,DEPT OF ECONOMIC SECURITY,NAME REDACTED,15.3,4274221135.8900
2023,DEPT OF EMERGENCY AND MILITARY AFFAIRS,ASHBRITT INC,70.9,274834309.1000
2023,DEPT OF PUBLIC SAFETY,FIDELITY NATIONAL TITLE,4.0,205136499.4600
2024,DEPT OF ADMINISTRATION,BLUE CROSS BLUE SHIELD OF AZ INC,21.1,1916165423.9000
2025,DEPT OF TRANSPORTATION,U S BANK NATIONAL ASSN,13.2,2261843904.6500
2018,STATEWIDE SYSTEMS PROCESSING,U S BANK NATIONAL ASSOCIATION,99.8,176051245.7600
2023,DEPT OF CHILD SAFETY,MERCY CARE,18.5,949688227.0400
2023,DEPT OF EDUCATION,MARICOPA COUNTY,33.0,2616218909.1300
2023,DEPT OF ENVIRONMENTAL QUALITY,GORDON-DARBY ARIZONA TESTING INC,30.1,89185672.2900
2024,DEPT OF CORRECTIONS,NAPHCARE INC,39.8,964566054.9200
2024,DEPT OF FORESTRY AND FIRE MANAGEMENT,CITY OF FLAGSTAFF,8.2,74194605.4800
2023,EARLY CHILDHOOD DEVELOP AND HEALTH BOARD,VALLEY OF THE SUN-UNITED WAY,47.0,189229162.6400
2021,STATEWIDE SYSTEMS PROCESSING,U S BANK NATIONAL ASSOCIATION,99.3,137674491.5800
2016,DEPT OF EDUCATION,MARICOPA COUNTY,38.7,866200404.3600
2016,EARLY CHILDHOOD DEVELOP AND HEALTH BOARD,VALLEY OF THE SUN UNITED WAY,43.2,119476384.1300
2016,DEPT OF CHILD SAFETY,NAME REDACTED,89.1,669686955.3500
2017,DEPT OF ADMINISTRATION,UNITED HEALTHCARE,32.6,1149398851.7500
2018,DEPT OF HEALTH SERVICES,"CUSTOM DATA PROCESSING\,. INC",18.5,327786596.7800
2025,DEPT OF CHILD SAFETY,MERCY CARE,17.0,888553380.9900
2025,DEPT OF EDUCATION,MARICOPA COUNTY,31.9,3100447413.3300
2016,DEPT OF ENVIRONMENTAL QUALITY,GORDON-DARBY ARIZONA TESTING INC,35.1,62682879.1100
2025,EARLY CHILDHOOD DEVELOP AND HEALTH BOARD,VALLEY OF THE SUN-UNITED WAY,42.3,134845794.8000
2025,DEPT OF ENVIRONMENTAL QUALITY,GORDON-DARBY ARIZONA TESTING INC,29.9,87222109.5000
2021,BOARD OF REGENTS,ARIZONA STATE UNIVERSITY,32.3,236146596.8700
