agency,fiscal_year,hv_txn,hv_exposure,n_tier1,usd_tier1,n_tier12,usd_tier12,tier12_pct_of_hv,avg_risk_score
PUBLIC SAFETY PERSONNEL RETIREMENT SYSTEM,2024,29,14896126,0,,0,,,0.0
PUBLIC SAFETY PERSONNEL RETIREMENT SYSTEM,2025,27,14439250,0,,0,,,0.0
RADIATION REGULATORY AGENCY,2016,6,1072005,0,,0,,,1.4
RADIATION REGULATORY AGENCY,2017,4,789663,0,,0,,,0.0
REAL ESTATE DEPARTMENT,2016,1,235900,0,,0,,,5.6
REAL ESTATE DEPARTMENT,2017,1,235800,0,,0,,,5.6
REAL ESTATE DEPARTMENT,2018,2,308618,0,,0,,,2.8
REAL ESTATE DEPARTMENT,2019,1,190300,0,,0,,,5.6
REAL ESTATE DEPARTMENT,2020,2,369000,0,,0,,,5.6
REAL ESTATE DEPARTMENT,2021,1,187600,0,,0,,,5.6
REAL ESTATE DEPARTMENT,2022,1,189300,0,,0,,,5.6
REAL ESTATE DEPARTMENT,2023,1,195400,0,,0,,,5.6
REAL ESTATE DEPARTMENT,2024,1,193000,0,,0,,,5.6
REAL ESTATE DEPARTMENT,2025,1,195300,0,,0,,,5.6
REGISTRAR OF CONTRACTORS,2016,4,590743,0,,1,117591,19.91,2.9
REGISTRAR OF CONTRACTORS,2017,2,508800,0,,0,,,0.0
REGISTRAR OF CONTRACTORS,2018,4,934687,0,,1,240000,25.68,1.5
REGISTRAR OF CONTRACTORS,2019,9,5413222,0,,0,,,2.333
REGISTRAR OF CONTRACTORS,2020,25,3240393,0,,0,,,0.784
REGISTRAR OF CONTRACTORS,2021,22,2853873,0,,0,,,0.382
REGISTRAR OF CONTRACTORS,2022,12,1723021,0,,0,,,0.467
REGISTRAR OF CONTRACTORS,2023,25,3194999,0,,0,,,0.752
REGISTRAR OF CONTRACTORS,2024,23,3068124,0,,0,,,0.374
REGISTRAR OF CONTRACTORS,2025,22,2720491,0,,0,,,0.0
RESIDENTIAL UTILITY CONSUMER OFFICE,2016,1,120900,0,,0,,,5.6
RESIDENTIAL UTILITY CONSUMER OFFICE,2017,1,105900,0,,0,,,5.6
RESIDENTIAL UTILITY CONSUMER OFFICE,2018,1,106600,0,,0,,,5.6
RESIDENTIAL UTILITY CONSUMER OFFICE,2019,1,109600,0,,0,,,5.6
RESIDENTIAL UTILITY CONSUMER OFFICE,2020,1,111600,0,,0,,,5.6
RESIDENTIAL UTILITY CONSUMER OFFICE,2021,1,112800,0,,0,,,5.6
RESIDENTIAL UTILITY CONSUMER OFFICE,2022,1,113900,0,,0,,,5.6
RESIDENTIAL UTILITY CONSUMER OFFICE,2023,1,118600,0,,0,,,5.6
