agency,fiscal_year,hv_txn,hv_exposure,n_tier1,usd_tier1,n_tier12,usd_tier12,tier12_pct_of_hv,avg_risk_score
AHCCCS,2016,6368,13279618101,0,,5,4467979,0.03,0.1
AHCCCS,2017,7460,14479883827,1,1565167,41,13153182,0.09,0.13
AHCCCS,2018,8304,15540873072,1,1571877,11,5320868,0.03,0.089
AHCCCS,2019,8281,16179726724,3,5549270,10,6540870,0.04,0.08
AHCCCS,2020,8266,17446642105,4,10749655,9,16938087,0.1,0.073
AHCCCS,2021,8832,21495587179,4,13137699,22,29119683,0.14,0.126
AHCCCS,2022,9972,27547278693,5,16655773,19,24219244,0.09,0.092
AHCCCS,2023,13225,28318166411,10,27691879,44,34915734,0.12,0.071
AHCCCS,2024,10620,27756899274,17,108855971,70,135124998,0.49,0.135
AHCCCS,2025,10205,28731133174,6,23670259,39,37310882,0.13,0.158
ARIZONA COMMERCE AUTHORITY,2016,24,119058302,0,,2,3000000,2.52,0.35
ARIZONA COMMERCE AUTHORITY,2017,20,23300000,0,,2,7000000,30.04,0.7
ARIZONA COMMERCE AUTHORITY,2018,18,17000000,0,,1,1500000,8.82,0.233
ARIZONA COMMERCE AUTHORITY,2019,25,26921000,0,,0,,,0.0
ARIZONA COMMERCE AUTHORITY,2020,35,25300000,0,,0,,,0.0
ARIZONA COMMERCE AUTHORITY,2021,29,25847864,0,,1,1500000,5.8,0.145
ARIZONA COMMERCE AUTHORITY,2022,30,30321652,0,,0,,,0.0
ARIZONA COMMERCE AUTHORITY,2023,48,129370094,0,,0,,,0.0
ARIZONA COMMERCE AUTHORITY,2024,60,147640000,0,,0,,,0.0
ARIZONA COMMERCE AUTHORITY,2025,32,14664947,0,,0,,,0.0
ARIZONA FINANCE AUTHORITY,2017,59,95200493,0,,0,,,0.0
ARIZONA FINANCE AUTHORITY,2018,67,234098967,0,,0,,,0.0
ARIZONA FINANCE AUTHORITY,2019,65,100464822,0,,0,,,0.0
ARIZONA FINANCE AUTHORITY,2020,95,163360937,0,,0,,,0.0
ARIZONA FINANCE AUTHORITY,2021,103,367477575,0,,0,,,0.0
ARIZONA FINANCE AUTHORITY,2022,128,170106286,0,,0,,,0.0
ARIZONA FINANCE AUTHORITY,2023,91,127040304,0,,0,,,0.0
ARIZONA HISTORICAL SOCIETY,2016,4,731833,0,,0,,,2.8
ARIZONA HISTORICAL SOCIETY,2017,7,1202605,0,,0,,,1.4
ARIZONA HISTORICAL SOCIETY,2018,1,414500,0,,0,,,5.6
ARIZONA HISTORICAL SOCIETY,2019,4,1405045,0,,0,,,1.4
ARIZONA HISTORICAL SOCIETY,2020,1,448600,0,,0,,,5.6
ARIZONA HISTORICAL SOCIETY,2021,5,2464641,0,,0,,,1.12
ARIZONA HISTORICAL SOCIETY,2022,1,123650,0,,0,,,5.6
ARIZONA HISTORICAL SOCIETY,2023,1,123650,0,,0,,,5.6
ARIZONA STATE RETIREMENT SYSTEM (ASRS),2016,117,50553510,12,21385030,75,43634592,86.31,4.247
ARIZONA STATE RETIREMENT SYSTEM (ASRS),2017,123,54196362,13,23532174,83,48379652,89.27,4.537
ARIZONA STATE RETIREMENT SYSTEM (ASRS),2018,127,55511324,12,22920166,82,46862624,84.42,4.528
ARIZONA STATE RETIREMENT SYSTEM (ASRS),2019,113,53277204,12,22952808,72,45015574,84.49,4.241
ARIZONA STATE RETIREMENT SYSTEM (ASRS),2020,127,54046751,12,21428086,77,43564403,80.61,4.009
ARIZONA STATE RETIREMENT SYSTEM (ASRS),2021,115,49833579,12,19560220,76,40885612,82.04,4.84
ARIZONA STATE RETIREMENT SYSTEM (ASRS),2022,109,47023356,12,17953902,69,39650925,84.32,4.377
ARIZONA STATE RETIREMENT SYSTEM (ASRS),2023,148,50281553,12,16265024,75,36106328,71.81,3.653
ARIZONA STATE RETIREMENT SYSTEM (ASRS),2024,143,59364078,21,26513751,89,49523809,83.42,3.978
ARIZONA STATE RETIREMENT SYSTEM (ASRS),2025,121,41627491,12,13854752,68,31602964,75.92,3.872
ARIZONA STATE UNIVERSITY,2016,126,1005204671,0,,1,6360250,0.63,0.578
ARIZONA STATE UNIVERSITY,2017,125,971469984,0,,0,,,0.0
ARIZONA STATE UNIVERSITY,2018,149,999327711,0,,0,,,0.0
ARIZONA STATE UNIVERSITY,2019,82,330719900,0,,0,,,0.0
ARIZONA STATE UNIVERSITY,2020,87,341229015,0,,0,,,0.0
ARIZONA STATE UNIVERSITY,2021,76,370029630,0,,0,,,0.0
ARIZONA STATE UNIVERSITY,2022,76,393189113,0,,0,,,0.0
ARIZONA STATE UNIVERSITY,2023,89,561511186,0,,1,4500000,0.8,0.047
ARIZONA STATE UNIVERSITY,2024,63,409764126,0,,0,,,0.0
ARIZONA STATE UNIVERSITY,2025,63,407700450,0,,0,,,0.0
ATTORNEY GENERAL (DEPT OF LAW),2016,133,60571186,0,,5,5322127,8.79,0.996
ATTORNEY GENERAL (DEPT OF LAW),2017,133,43573022,0,,6,5663712,13.0,0.765
ATTORNEY GENERAL (DEPT OF LAW),2018,161,57792799,2,6387500,5,9554115,16.53,0.666
ATTORNEY GENERAL (DEPT OF LAW),2019,137,39431511,2,12053858,4,14851690,37.66,0.374
ATTORNEY GENERAL (DEPT OF LAW),2020,161,55141884,2,3349500,3,4862800,8.82,0.348
ATTORNEY GENERAL (DEPT OF LAW),2021,150,33407718,3,6231676,7,9409306,28.17,0.611
ATTORNEY GENERAL (DEPT OF LAW),2022,131,38257995,2,6535500,8,9802619,25.62,0.885
ATTORNEY GENERAL (DEPT OF LAW),2023,214,57016454,2,4570500,15,9889462,17.34,0.808
ATTORNEY GENERAL (DEPT OF LAW),2024,205,127975227,1,1735500,4,6153335,4.81,0.602
ATTORNEY GENERAL (DEPT OF LAW),2025,242,108260516,1,2002500,4,4829045,4.46,0.272
AUDITOR GENERAL,2016,34,8460307,0,,0,,,0.403
AUDITOR GENERAL,2017,33,8283288,0,,0,,,0.648
AUDITOR GENERAL,2018,32,8058646,0,,0,,,0.494
AUDITOR GENERAL,2019,55,9465641,0,,0,,,0.076
AUDITOR GENERAL,2020,52,9550261,0,,0,,,0.081
AUDITOR GENERAL,2021,50,8818569,0,,0,,,0.112
AUDITOR GENERAL,2022,33,7090034,0,,0,,,0.0
AUDITOR GENERAL,2023,43,7930604,0,,0,,,0.0
AUDITOR GENERAL,2024,57,9606045,0,,0,,,0.079
AUDITOR GENERAL,2025,56,9726727,0,,0,,,0.402
AUTOMOBILE THEFT AUTHORITY,2016,4,3650000,0,,0,,,0.0
AUTOMOBILE THEFT AUTHORITY,2017,4,3650000,0,,0,,,0.0
AUTOMOBILE THEFT AUTHORITY,2018,4,3650000,0,,0,,,0.0
AUTOMOBILE THEFT AUTHORITY,2019,5,4562500,0,,0,,,0.0
AUTOMOBILE THEFT AUTHORITY,2020,4,3650000,0,,0,,,0.0
BARBERING AND COSMETOLOGY BOARD,2023,1,307885,0,,0,,,5.6
BARBERING AND COSMETOLOGY BOARD,2024,2,12395110,0,,0,,,0.0
BARBERING AND COSMETOLOGY BOARD,2025,2,319727,0,,0,,,1.05
BOARD FOR CHARTER SCHOOLS,2020,1,103700,0,,0,,,5.6
BOARD FOR CHARTER SCHOOLS,2021,1,103700,0,,0,,,5.6
BOARD FOR CHARTER SCHOOLS,2022,1,285267,0,,0,,,0.0
BOARD FOR CHARTER SCHOOLS,2023,1,100900,0,,0,,,5.6
BOARD FOR PRIVATE POSTSECONDARY EDU,2016,4,600000,0,,0,,,0.0
BOARD OF ACCOUNTANCY,2016,1,113200,0,,0,,,5.6
BOARD OF ACCOUNTANCY,2017,1,112200,0,,0,,,5.6
BOARD OF ACCOUNTANCY,2018,1,113000,0,,0,,,5.6
BOARD OF ACCOUNTANCY,2019,1,116500,0,,0,,,5.6
BOARD OF ACCOUNTANCY,2020,2,368600,0,,1,250000,67.82,5.8
BOARD OF ACCOUNTANCY,2021,1,120600,0,,0,,,5.6
BOARD OF ACCOUNTANCY,2022,1,121800,0,,0,,,5.6
BOARD OF ACCOUNTANCY,2023,1,125900,0,,0,,,5.6
BOARD OF ACCOUNTANCY,2024,1,124300,0,,0,,,5.6
BOARD OF ACCOUNTANCY,2025,1,125700,0,,0,,,5.6
BOARD OF ATHLETIC TRAINING,2024,1,250000,0,,0,,,0.0
BOARD OF BARBERS,2022,1,788482,0,,0,,,0.0
BOARD OF BEHAVIORAL HEALTH EXAMINERS,2024,1,4200000,0,,0,,,0.0
BOARD OF CHIROPRACTIC EXAMINERS,2024,1,500000,0,,0,,,0.0
BOARD OF COSMETOLOGY,2019,1,101600,0,,0,,,5.6
BOARD OF COSMETOLOGY,2020,1,124800,0,,0,,,5.6
BOARD OF COSMETOLOGY,2021,1,116200,0,,0,,,5.6
BOARD OF COSMETOLOGY,2022,1,116200,0,,0,,,5.6
BOARD OF DENTAL EXAMINERS,2024,1,2000000,0,,0,,,0.0
BOARD OF EDUCATION,2016,1,103642,0,,0,,,2.1
BOARD OF EDUCATION,2019,2,213550,0,,1,107650,50.41,5.8
BOARD OF EDUCATION,2020,1,117300,0,,0,,,5.6
BOARD OF EDUCATION,2021,1,117000,0,,0,,,5.6
BOARD OF EDUCATION,2022,3,320400,0,,2,203400,63.48,5.867
BOARD OF EDUCATION,2023,2,472900,0,,2,472900,100.0,6.0
BOARD OF EDUCATION,2024,3,613600,0,,2,512700,83.56,5.867
BOARD OF EDUCATION,2025,3,630800,0,,2,530000,84.02,5.867
BOARD OF EQUALIZATION,2022,1,140140,0,,1,140140,100.0,9.8
BOARD OF EXECUTIVE CLEMENCY,2019,1,105900,0,,0,,,5.6
BOARD OF EXECUTIVE CLEMENCY,2020,1,117700,0,,0,,,5.6
BOARD OF EXECUTIVE CLEMENCY,2021,1,117700,0,,0,,,5.6
BOARD OF EXECUTIVE CLEMENCY,2022,1,117700,0,,0,,,5.6
BOARD OF FINGERPRINTING,2024,1,1200000,0,,0,,,0.0
BOARD OF FUNERAL DIRECTORS AND EMBALMERS,2024,1,200000,0,,1,200000,100.0,11.2
BOARD OF FUNERAL DIRECTORS AND EMBALMERS,2025,2,949790,0,,0,,,0.0
BOARD OF MASSAGE THERAPY,2024,1,600000,0,,0,,,0.0
BOARD OF MEDICAL STUDENT LOANS,2024,3,6000000,0,,0,,,0.0
BOARD OF MEDICAL STUDENT LOANS,2025,6,603936,0,,0,,,0.0
BOARD OF NURSING,2017,2,493839,0,,1,167608,33.94,4.05
BOARD OF NURSING,2018,7,765530,0,,0,,,0.0
BOARD OF NURSING,2019,1,182882,0,,0,,,5.6
BOARD OF NURSING,2020,1,152640,0,,0,,,5.6
BOARD OF NURSING,2021,1,152640,0,,0,,,5.6
BOARD OF NURSING,2022,5,575883,0,,0,,,1.12
BOARD OF NURSING,2023,27,3078106,0,,1,104167,3.38,0.874
BOARD OF NURSING,2024,36,15459039,0,,1,107730,0.7,0.531
BOARD OF NURSING,2025,78,22284635,1,1933648,5,3372985,15.14,0.514
BOARD OF OCCUPATIONAL THERAPY EXAMINERS,2024,1,900000,0,,0,,,0.0
BOARD OF OPTOMETRY,2024,1,387100,0,,0,,,0.0
BOARD OF OSTEOPATHIC EXAMINERS,2024,1,2800000,0,,0,,,0.0
BOARD OF PHARMACY,2016,3,588595,0,,0,,,1.867
BOARD OF PHARMACY,2017,4,1138595,0,,0,,,2.45
BOARD OF PHARMACY,2018,6,1667800,0,,2,725000,43.47,5.367
BOARD OF PHARMACY,2019,6,2393547,0,,0,,,2.8
BOARD OF PHARMACY,2020,5,1743498,0,,0,,,2.24
BOARD OF PHARMACY,2021,5,1762700,0,,0,,,2.24
BOARD OF PHARMACY,2022,6,2062700,0,,0,,,0.933
BOARD OF PHARMACY,2023,3,2250000,0,,0,,,0.0
BOARD OF PHARMACY,2024,4,8550000,0,,0,,,0.0
BOARD OF PHARMACY,2025,1,750000,0,,0,,,5.6
BOARD OF PHYSICAL THERAPY,2024,1,680000,0,,0,,,0.0
BOARD OF PSYCHOLOGIST EXAMINERS,2024,2,1800000,0,,0,,,0.0
BOARD OF REGENTS,2016,120,179704104,0,,0,,,0.035
BOARD OF REGENTS,2017,127,229600806,0,,0,,,0.033
BOARD OF REGENTS,2018,107,231311519,0,,0,,,0.14
BOARD OF REGENTS,2019,96,197515287,0,,0,,,0.072
BOARD OF REGENTS,2020,119,219673629,0,,0,,,0.035
BOARD OF REGENTS,2021,118,234763651,0,,0,,,0.036
BOARD OF REGENTS,2022,138,278001204,0,,0,,,0.063
BOARD OF REGENTS,2023,173,345341469,0,,0,,,0.05
BOARD OF REGENTS,2024,235,470743594,0,,0,,,0.098
BOARD OF REGENTS,2025,203,386148006,0,,0,,,0.048
BOARD OF TECHNICAL REGISTRATION,2016,2,286500,0,,0,,,5.2
BOARD OF TECHNICAL REGISTRATION,2017,2,432745,0,,0,,,2.8
BOARD OF TECHNICAL REGISTRATION,2018,1,174100,0,,0,,,5.6
BOARD OF TECHNICAL REGISTRATION,2019,1,179000,0,,0,,,5.6
BOARD OF TECHNICAL REGISTRATION,2020,1,182200,0,,0,,,5.6
BOARD OF TECHNICAL REGISTRATION,2021,1,184100,0,,0,,,5.6
BOARD OF TECHNICAL REGISTRATION,2022,1,186000,0,,0,,,5.6
BOARD OF TECHNICAL REGISTRATION,2023,3,510515,0,,0,,,3.467
BOARD OF TECHNICAL REGISTRATION,2024,2,5797700,0,,0,,,2.8
BOARD OF TECHNICAL REGISTRATION,2025,2,339022,0,,0,,,2.8
CITIZENS CLEAN ELECTION COMMISSION,2016,2,283922,0,,2,283922,100.0,6.0
CITIZENS CLEAN ELECTION COMMISSION,2017,17,2923571,0,,6,1046642,35.8,2.118
CITIZENS CLEAN ELECTION COMMISSION,2018,8,978616,0,,2,284721,29.09,2.2
CITIZENS CLEAN ELECTION COMMISSION,2019,16,3020461,0,,0,,,1.194
CITIZENS CLEAN ELECTION COMMISSION,2020,6,1119454,0,,0,,,0.75
CITIZENS CLEAN ELECTION COMMISSION,2021,18,3298875,0,,5,817034,24.77,1.667
CITIZENS CLEAN ELECTION COMMISSION,2022,12,1680961,0,,2,400573,23.83,1.75
CITIZENS CLEAN ELECTION COMMISSION,2023,13,3183881,0,,3,406653,12.77,2.077
CITIZENS CLEAN ELECTION COMMISSION,2024,11,1814242,0,,1,194187,10.7,2.827
CITIZENS CLEAN ELECTION COMMISSION,2025,29,5507155,0,,0,,,3.041
COMMISSION FOR DEAF AND HARD OF HEARING,2016,2,332737,0,,0,,,4.2
COMMISSION FOR DEAF AND HARD OF HEARING,2017,1,215300,0,,0,,,5.6
COMMISSION FOR DEAF AND HARD OF HEARING,2018,1,216800,0,,0,,,5.6
COMMISSION FOR DEAF AND HARD OF HEARING,2019,1,223600,0,,0,,,5.6
COMMISSION FOR DEAF AND HARD OF HEARING,2020,1,227600,0,,0,,,5.6
COMMISSION FOR DEAF AND HARD OF HEARING,2021,1,231400,0,,0,,,5.6
COMMISSION FOR DEAF AND HARD OF HEARING,2022,1,233700,0,,0,,,5.6
COMMISSION FOR DEAF AND HARD OF HEARING,2023,1,241600,0,,0,,,5.6
COMMISSION FOR DEAF AND HARD OF HEARING,2024,1,238600,0,,0,,,5.6
COMMISSION FOR DEAF AND HARD OF HEARING,2025,1,241300,0,,0,,,5.6
COMMISSION FOR POSTSECONDARY EDUCATION,2016,8,1140330,0,,0,,,0.0
COMMISSION FOR POSTSECONDARY EDUCATION,2017,11,1683013,0,,1,100000,5.94,0.545
COMMISSION FOR POSTSECONDARY EDUCATION,2018,10,1685475,0,,0,,,0.0
COMMISSION FOR POSTSECONDARY EDUCATION,2019,11,1881639,0,,0,,,0.0
COMMISSION FOR POSTSECONDARY EDUCATION,2020,11,2082511,0,,0,,,0.0
COMMISSION FOR POSTSECONDARY EDUCATION,2021,13,2460461,0,,0,,,0.0
COMMISSION FOR POSTSECONDARY EDUCATION,2022,10,1721757,0,,0,,,0.0
COMMISSION ON THE ARTS,2020,1,200000,0,,0,,,0.0
COMMISSION ON THE ARTS,2023,5,5100000,0,,0,,,0.0
COMMISSION ON THE ARTS,2024,6,5252121,0,,0,,,0.35
COMMISSION ON THE ARTS,2025,6,2256000,0,,0,,,0.35
COMPANION ANIMAL SPAY/NEUTER COMMITTEE,2019,1,105890,0,,0,,,0.0
COMPANION ANIMAL SPAY/NEUTER COMMITTEE,2020,1,432165,0,,0,,,4.2
COMPANION ANIMAL SPAY/NEUTER COMMITTEE,2021,1,450000,0,,0,,,5.6
CORPORATION COMMISSION,2016,43,10362468,0,,0,,,0.456
CORPORATION COMMISSION,2017,38,8326289,0,,0,,,0.353
CORPORATION COMMISSION,2018,42,9986691,0,,1,148843,1.49,0.41
CORPORATION COMMISSION,2019,53,42749466,0,,0,,,0.211
CORPORATION COMMISSION,2020,69,29836015,0,,0,,,0.771
CORPORATION COMMISSION,2021,56,25706606,0,,0,,,0.45
CORPORATION COMMISSION,2022,59,30988612,0,,0,,,0.532
CORPORATION COMMISSION,2023,73,34959418,0,,1,144371,0.41,0.548
CORPORATION COMMISSION,2024,75,66751159,0,,1,262498,0.39,0.611
CORPORATION COMMISSION,2025,97,30788452,0,,4,740948,2.41,1.111
COTTON RESEARCH AND PROTECTION COUNCIL,2016,2,242273,0,,2,242273,100.0,6.0
COTTON RESEARCH AND PROTECTION COUNCIL,2019,4,607554,0,,0,,,1.575
COTTON RESEARCH AND PROTECTION COUNCIL,2020,2,220289,0,,0,,,2.1
COTTON RESEARCH AND PROTECTION COUNCIL,2021,3,432710,0,,0,,,2.7
COTTON RESEARCH AND PROTECTION COUNCIL,2022,4,495430,0,,0,,,3.075
COTTON RESEARCH AND PROTECTION COUNCIL,2023,3,809013,0,,0,,,3.5
COTTON RESEARCH AND PROTECTION COUNCIL,2024,1,155701,0,,0,,,2.1
COTTON RESEARCH AND PROTECTION COUNCIL,2025,2,296808,0,,0,,,2.1
COURT OF APPEALS,2016,27,6892370,0,,0,,,0.0
COURT OF APPEALS,2017,26,6478320,0,,0,,,0.0
COURT OF APPEALS,2018,26,6860849,0,,0,,,0.0
COURT OF APPEALS,2019,26,6890021,0,,0,,,0.0
COURT OF APPEALS,2020,28,7308697,0,,0,,,0.2
COURT OF APPEALS,2021,30,7933805,0,,0,,,0.07
COURT OF APPEALS,2022,27,7407706,0,,0,,,0.078
COURT OF APPEALS,2023,31,9731797,0,,0,,,0.0
COURT OF APPEALS,2024,29,9863079,0,,0,,,0.072
COURT OF APPEALS,2025,27,8883730,0,,1,110150,1.24,0.222
COURT OF APPEALS DIV II,2016,21,2502849,0,,0,,,0.267
COURT OF APPEALS DIV II,2017,26,3043160,0,,0,,,0.215
COURT OF APPEALS DIV II,2018,22,2613493,0,,0,,,0.255
COURT OF APPEALS DIV II,2019,27,3235660,0,,0,,,0.207
COURT OF APPEALS DIV II,2020,27,3369141,0,,0,,,0.207
COURT OF APPEALS DIV II,2021,28,3594433,0,,0,,,0.2
COURT OF APPEALS DIV II,2022,27,3435797,0,,0,,,0.207
COURT OF APPEALS DIV II,2023,30,4902228,0,,0,,,0.187
COURT OF APPEALS DIV II,2024,28,5194714,0,,0,,,0.2
COURT OF APPEALS DIV II,2025,25,4861896,0,,0,,,0.224
CRIMINAL JUSTICE COMMISSION,2016,32,10885299,0,,0,,,0.0
CRIMINAL JUSTICE COMMISSION,2017,24,6348786,0,,0,,,0.0
CRIMINAL JUSTICE COMMISSION,2018,30,7406518,0,,0,,,0.0
CRIMINAL JUSTICE COMMISSION,2019,31,5904659,0,,0,,,0.145
CRIMINAL JUSTICE COMMISSION,2020,25,5122657,0,,0,,,0.168
CRIMINAL JUSTICE COMMISSION,2021,36,6534955,0,,0,,,0.0
CRIMINAL JUSTICE COMMISSION,2022,31,5778912,0,,2,354726,6.14,0.387
CRIMINAL JUSTICE COMMISSION,2023,67,17162321,0,,0,,,0.0
CRIMINAL JUSTICE COMMISSION,2024,50,21561231,0,,0,,,0.0
CRIMINAL JUSTICE COMMISSION,2025,50,15946713,0,,14,5373704,33.7,2.79
DEPT OF ADMINISTRATION,2016,1027,1403502631,10,23705008,51,142997410,10.19,1.193
DEPT OF ADMINISTRATION,2017,1105,1297726169,1,1853285,42,120132659,9.26,1.084
DEPT OF ADMINISTRATION,2018,1156,1345465394,4,9108075,62,157764788,11.73,1.39
DEPT OF ADMINISTRATION,2019,1146,1212560555,3,4029892,27,113131941,9.33,0.848
DEPT OF ADMINISTRATION,2020,1320,1457704747,1,6500000,24,125775202,8.63,0.829
DEPT OF ADMINISTRATION,2021,1141,1832474425,1,5400000,25,72183705,3.94,0.723
DEPT OF ADMINISTRATION,2022,980,1347479449,2,4550000,46,27353414,2.03,0.81
DEPT OF ADMINISTRATION,2023,1570,1969171044,7,11789486,29,24588834,1.25,0.594
DEPT OF ADMINISTRATION,2024,2104,2345394376,8,10169000,40,36588503,1.56,0.552
DEPT OF ADMINISTRATION,2025,1946,2408433559,5,8432778,40,128907854,5.35,0.651
DEPT OF AGRICULTURE,2016,4,815594,0,,0,,,3.325
DEPT OF AGRICULTURE,2017,7,1178805,0,,0,,,3.0
DEPT OF AGRICULTURE,2018,8,1459348,0,,0,,,3.763
DEPT OF AGRICULTURE,2019,10,1617442,0,,0,,,2.1
DEPT OF AGRICULTURE,2020,15,2516703,0,,0,,,1.467
DEPT OF AGRICULTURE,2021,21,2781025,0,,0,,,0.533
DEPT OF AGRICULTURE,2022,30,4191961,0,,0,,,1.013
DEPT OF AGRICULTURE,2023,43,15484364,0,,0,,,0.786
DEPT OF AGRICULTURE,2024,38,6149648,0,,0,,,1.2
DEPT OF AGRICULTURE,2025,29,8406704,0,,1,3704183,44.06,1.159
DEPT OF CHILD SAFETY,2016,2018,1299098731,3,17487017,34,27370856,2.11,0.306
DEPT OF CHILD SAFETY,2017,2011,988137116,0,,34,10247543,1.04,0.359
DEPT OF CHILD SAFETY,2018,2109,1170708680,0,,5,3654048,0.31,0.186
DEPT OF CHILD SAFETY,2019,1659,1037241299,0,,6,6401704,0.62,0.209
DEPT OF CHILD SAFETY,2020,2128,1348050098,1,1376328,18,18007174,1.34,0.562
DEPT OF CHILD SAFETY,2021,1374,898263937,2,2309818,16,7879038,0.88,0.302
DEPT OF CHILD SAFETY,2022,1287,987872963,2,2310168,16,25988263,2.63,0.371
DEPT OF CHILD SAFETY,2023,1666,1187090460,8,12166972,50,31606959,2.66,0.644
DEPT OF CHILD SAFETY,2024,1549,1608648746,1,3433814,41,36057678,2.24,0.51
DEPT OF CHILD SAFETY,2025,1522,1243420269,0,,50,29849903,2.4,0.583
DEPT OF CORRECTIONS,2016,2148,651687139,4,14871947,77,86403651,13.26,0.711
DEPT OF CORRECTIONS,2017,2100,657621967,2,5960066,62,86733444,13.19,0.629
DEPT OF CORRECTIONS,2018,2002,644475796,5,5636006,96,92128394,14.3,0.761
DEPT OF CORRECTIONS,2019,1958,786177280,1,1500000,37,77123309,9.81,0.699
DEPT OF CORRECTIONS,2020,2366,1117497824,19,95990160,107,191104813,17.1,1.069
DEPT OF CORRECTIONS,2021,2084,897120481,6,18439889,108,138818393,15.47,0.887
DEPT OF CORRECTIONS,2022,2359,2803993669,6,11641268,94,96208643,3.43,0.979
DEPT OF CORRECTIONS,2023,2247,1081603534,27,241484904,114,340480688,31.48,0.764
DEPT OF CORRECTIONS,2024,2265,1258316359,30,384232355,92,492242049,39.12,0.712
DEPT OF CORRECTIONS,2025,2511,1290074880,39,384894384,228,562352474,43.59,1.093
DEPT OF ECONOMIC SECURITY,2016,4755,3084881092,5,7757469,61,51438662,1.67,0.384
DEPT OF ECONOMIC SECURITY,2017,4696,2536461597,6,9414900,98,68645655,2.71,0.401
DEPT OF ECONOMIC SECURITY,2018,4843,2334608220,2,2977440,47,52033959,2.23,0.322
DEPT OF ECONOMIC SECURITY,2019,4926,2627034320,0,,30,83616342,3.18,0.219
DEPT OF ECONOMIC SECURITY,2020,5935,4108267668,3,5214689,28,68269654,1.66,0.23
DEPT OF ECONOMIC SECURITY,2021,6700,4347542033,10,15987228,115,114037522,2.62,0.435
DEPT OF ECONOMIC SECURITY,2022,6995,4390583693,9,20871447,94,122954098,2.8,0.28
DEPT OF ECONOMIC SECURITY,2023,8620,6102207740,12,36147382,103,129357905,2.12,0.268
DEPT OF ECONOMIC SECURITY,2024,11609,7830006829,4,13575245,81,124174167,1.59,0.2
DEPT OF ECONOMIC SECURITY,2025,10139,7017664775,6,16449120,94,147202555,2.1,0.206
DEPT OF EDUCATION,2016,2583,3882243934,0,,10,4399503,0.11,0.081
DEPT OF EDUCATION,2017,2668,3312516800,0,,16,6931413,0.21,0.115
DEPT OF EDUCATION,2018,2514,2772089236,0,,13,6613276,0.24,0.08
DEPT OF EDUCATION,2019,2607,3362898929,3,4918076,18,14513537,0.43,0.079
DEPT OF EDUCATION,2020,2836,4291319534,2,6948600,22,18378383,0.43,0.108
DEPT OF EDUCATION,2021,3300,4579960299,1,1000000,26,13476109,0.29,0.088
DEPT OF EDUCATION,2022,4588,5999164200,7,30337176,24,35175931,0.59,0.072
DEPT OF EDUCATION,2023,4567,6741800209,16,50244301,54,73386530,1.09,0.142
DEPT OF EDUCATION,2024,4407,6716792392,16,36181773,57,54151823,0.81,0.178
DEPT OF EDUCATION,2025,4002,7196746245,13,34262918,56,49814680,0.69,0.169
DEPT OF EMERGENCY AND MILITARY AFFAIRS,2016,142,61613521,1,1277750,6,1807662,2.93,0.639
DEPT OF EMERGENCY AND MILITARY AFFAIRS,2017,98,22654756,0,,0,,,0.646
DEPT OF EMERGENCY AND MILITARY AFFAIRS,2018,102,27374040,0,,5,1270379,4.64,1.275
DEPT OF EMERGENCY AND MILITARY AFFAIRS,2019,98,22402851,0,,6,1405048,6.27,1.236
DEPT OF EMERGENCY AND MILITARY AFFAIRS,2020,110,29492534,0,,1,300000,1.02,0.935
DEPT OF EMERGENCY AND MILITARY AFFAIRS,2021,157,115813175,2,2121000,9,3459381,2.99,1.568
DEPT OF EMERGENCY AND MILITARY AFFAIRS,2022,172,122940171,0,,4,618001,0.5,0.916
DEPT OF EMERGENCY AND MILITARY AFFAIRS,2023,263,454912664,20,206777645,34,312215307,68.63,2.318
DEPT OF EMERGENCY AND MILITARY AFFAIRS,2024,196,63208180,1,3696003,16,9506369,15.04,1.503
DEPT OF EMERGENCY AND MILITARY AFFAIRS,2025,347,714373593,1,1021003,6,3385559,0.47,0.524
DEPT OF ENVIRONMENTAL QUALITY,2016,118,52452954,0,,9,4785346,9.12,0.997
DEPT OF ENVIRONMENTAL QUALITY,2017,194,56910412,0,,5,792977,1.39,0.597
DEPT OF ENVIRONMENTAL QUALITY,2018,165,76682610,0,,15,3354632,4.37,1.24
DEPT OF ENVIRONMENTAL QUALITY,2019,189,71545016,0,,8,1949133,2.72,0.795
DEPT OF ENVIRONMENTAL QUALITY,2020,260,73983851,0,,13,2735919,3.7,0.649
DEPT OF ENVIRONMENTAL QUALITY,2021,268,61714831,0,,6,1863948,3.02,0.414
DEPT OF ENVIRONMENTAL QUALITY,2022,196,51272681,0,,12,3207214,6.26,0.644
DEPT OF ENVIRONMENTAL QUALITY,2023,206,57759377,0,,7,2340686,4.05,0.732
DEPT OF ENVIRONMENTAL QUALITY,2024,226,94478243,0,,8,3563649,3.77,0.552
DEPT OF ENVIRONMENTAL QUALITY,2025,408,103856937,0,,11,3104821,2.99,0.407
DEPT OF FINANCIAL INSTITUTIONS,2016,2,764881,0,,0,,,0.0
DEPT OF FINANCIAL INSTITUTIONS,2017,1,116047,0,,0,,,0.0
DEPT OF FINANCIAL INSTITUTIONS,2018,3,5973191,0,,0,,,0.0
DEPT OF FINANCIAL INSTITUTIONS,2019,8,3005506,0,,1,100000,3.33,2.713
DEPT OF FINANCIAL INSTITUTIONS,2020,3,747767,0,,0,,,3.733
