agency,cabinet,hv_txn,hv_exposure,n_tier1,usd_tier1,n_tier2,usd_tier2,n_tier3,n_flagged,tier12_exposure,tier12_pct_of_hv,avg_risk_score,max_risk_score,distinct_flagged_vendors,top_markers
BOARD OF REGENTS,EDUCATION,1298,2494802065,0,,0,,21,21,,,0.065,5.6,6,whole_dollar|manual_rail_disc|new_vendor_large
WATER INFRASTRUCTURE FINANCE AUTHORITY OF ARIZONA,GENERAL GOVERNMENT,450,695937589,0,,0,,1,1,,,0.01,4.5,1,whole_dollar
ARIZONA HISTORICAL SOCIETY,EDUCATION,23,6790874,0,,0,,9,9,,,2.13,5.6,1,manual_rail_disc|whole_dollar
COMMISSION FOR POSTSECONDARY EDUCATION,EDUCATION,64,10933428,0,,1,100000,0,1,100000,0.91,0.094,6.0,1,round_100k
COURT OF APPEALS DIV II,GENERAL GOVERNMENT,234,33317575,0,,0,,9,9,,,0.215,5.6,0,manual_rail_disc
STATEWIDE SYSTEMS PROCESSING,GENERAL GOVERNMENT,1388,3173386276,0,,1,1212398,28,29,1212398,0.04,0.066,5.6,3,vendor_dependency|whole_dollar
DEPT OF AGRICULTURE,INSPECTION AND REGULATION,175,40409633,0,,1,3704183,51,52,3704183,9.17,1.323,5.6,4,manual_rail_disc|manual_rail|offcontract|whole_dollar|no_contract_named
BOARD OF MASSAGE THERAPY,INSPECTION AND REGULATION,1,600000,0,,0,,0,0,,,0.0,0.0,0,
BOARD OF ATHLETIC TRAINING,INSPECTION AND REGULATION,1,250000,0,,0,,0,0,,,0.0,0.0,0,
REAL ESTATE DEPARTMENT,INSPECTION AND REGULATION,11,2110918,0,,0,,10,10,,,5.091,5.6,0,manual_rail_disc
CORPORATION COMMISSION,INSPECTION AND REGULATION,546,259466564,0,,7,1296660,63,70,1296660,0.5,0.611,9.6,5,manual_rail_disc|offcontract|whole_dollar|true_duplicate|new_vendor_large
SUPREME COURT,GENERAL GOVERNMENT,4492,1462665921,0,,50,50797634,655,705,50797634,3.47,0.848,9.0,15,manual_rail_disc|whole_dollar|manual_rail|new_vendor_large|short_tenure_vendor
HOUSE OF REPRESENTATIVES,GENERAL GOVERNMENT,58,12263317,0,,0,,22,22,,,1.509,5.6,6,whole_dollar|manual_rail|manual_rail_disc|round_100k|person_name_payee
DEPT OF ENVIRONMENTAL QUALITY,HEALTH AND WELFARE,2034,649384232,0,,85,24959858,168,253,24959858,3.84,0.65,10.5,32,manual_rail_disc|whole_dollar|offcontract|new_vendor_large|round_100k
BOARD FOR PRIVATE POSTSECONDARY EDU,INSPECTION AND REGULATION,4,600000,0,,0,,0,0,,,0.0,0.0,0,
MEDICAL BOARD,INSPECTION AND REGULATION,54,17124365,0,,37,5028603,10,47,5028603,29.37,5.122,6.0,1,manual_rail_disc|whole_dollar
LEGISLATIVE COUNCIL,GENERAL GOVERNMENT,175,33377287,0,,3,3899216,22,25,3899216,11.68,0.676,5.6,6,whole_dollar|sole_source|vendor_dependency|manual_rail|new_vendor_large
BOARD OF OSTEOPATHIC EXAMINERS,INSPECTION AND REGULATION,1,2800000,0,,0,,0,0,,,0.0,0.0,0,
