appropriation,lead_agency,hv_txn,hv_exposure,n_tier1,tier12_exposure,max_risk_score,distinct_vendors
CONSTRUCTION INSURANCE CLAIMS AND PREMIUMS,DEPT OF ADMINISTRATION,30,24168311,1,7391538,12.6,9
WILDLIFE MANAGEMENT,GAME AND FISH DEPARTMENT,346,104313559,2,7295482,14.3,71
DCC SLI CCDF,DEPT OF ECONOMIC SECURITY,1862,1803582881,2,7107322,13.5,8
ARIZONA HOLOCAUST EDUCATION CENTER,DEPT OF EDUCATION,1,7000000,1,7000000,13.5,1
STATE AND LOCAL FISCAL RECOVERY FUNDS,LAND DEPARTMENT,1,7000000,1,7000000,28.0,1
CO-OP FEDERAL GRANTS,DEPT OF FORESTRY AND FIRE MANAGEMENT,57,16291362,3,6697474,7.5,19
BORDER SECURITY FUND,DEPT OF EMERGENCY AND MILITARY AFFAIRS,45,26181387,2,6692832,27.0,9
VERDE RIVER STATE PARK,PARKS BOARD,1,6018628,1,6018628,15.6,1
REHABILITATE PAVEMENT ON ROAD PROJECTS,DEPT OF TRANSPORTATION,98,81782724,1,5862478,7.8,6
ELECTION SERVICES,SECRETARY OF STATE (DEPT OF STATE),43,19912260,4,5803033,8.4,18
ARIZONA STATE VETERANS HOME,DEPT OF VETERANS SERVICES,302,42913471,3,5584158,6.0,14
ISA,DEPT OF ADMINISTRATION,102,67263281,2,5528584,6.0,23
SBS ADMINISTRATION FEE,AHCCCS,40,18880841,1,5385853,6.0,0
INTER-GOVTAL INTERAGY SRVC AGREEMENTS,DEPT OF CORRECTIONS,57,40684080,1,5315296,10.4,7
ALTERNATIVE TEACHER DEVELOPMENT PROGRAM,DEPT OF EDUCATION,9,5675000,2,5175000,7.5,2
OFFICE OF ECONOMIC OPPORTUNITY OPERATIONS EXPENDITURE,OFFICE OF ECONOMIC OPPORTUNITY,47,13500768,1,4506681,18.0,20
CONSTRUCTION INSURANCE PROGRAM,DEPT OF ADMINISTRATION,9,14041514,1,4501200,8.4,5
BORDER STRIKE TASK FORCE LOCAL SUPPORT,DEPT OF PUBLIC SAFETY,7,6311628,1,4500000,6.0,5
DCS - CASEWORKERS - 2007,DEPT OF CHILD SAFETY,138,79445095,1,4262353,6.0,1
EARLY EDUCATION AND CAREER EXPLORATION PROGRAM,DEPT OF EDUCATION,5,4948325,2,3930468,10.5,2
CYBER RISK INSURANCE,DEPT OF ADMINISTRATION,8,5292683,2,3922924,7.0,2
MICROBUSINESS LOAN FUND,OFFICE OF ECONOMIC OPPORTUNITY,9,3826247,1,3826247,18.0,7
POSTAGE FUND,DEPT OF TRANSPORTATION,80,29806537,3,3723954,11.2,5
BNA PRIVATE GRANTS AND DONATIONS,BOARD OF NURSING,64,21688583,1,3584882,9.0,16
PUBLIC WORKS AND ECONOMIC ADJUSTMENT ASSISTANCE PROGRAMS UND,OFFICE OF TOURISM,76,22421818,1,3373605,10.5,41
ELA- AZELLA ADMIN,DEPT OF EDUCATION,93,42102322,1,3285389,6.0,2
DERS OPER TANF,DEPT OF ECONOMIC SECURITY,96,35683204,1,3172547,9.0,0
"LEWIS/YUMA LOCKS, HVAC, FIRE PROJECT",DEPT OF CORRECTIONS,9,6873557,1,3153386,9.1,1
VDF ADMINISTRATION,DEPT OF VETERANS SERVICES,23,6481043,2,3104006,7.8,11
JOBS SLI SA,DEPT OF ECONOMIC SECURITY,4,3309570,1,3054975,7.5,0
DCS OPERATING LUMP SUM-2007,DEPT OF CHILD SAFETY,248,136024764,1,2728857,6.0,1
SCHOOL SAFETY PROGRAM-ASSISTANCE,DEPT OF EDUCATION,456,105288192,1,2691242,6.0,17
RESPONSE AND RECOVERY,DEPT OF EMERGENCY AND MILITARY AFFAIRS,150,602935061,2,2669975,22.4,58
DCS - CASEWORKERS - 1000,DEPT OF CHILD SAFETY,368,124091171,1,2553745,6.0,1
PHOENIX SCIENCE EDUCATION PROGRAMS,DEPT OF EDUCATION,1,2500000,1,2500000,6.0,1
ASH-DOC,DEPT OF HEALTH SERVICES,4,2751244,1,2500000,6.0,0
CENTER FOR ELECTION INNOVATION AND RESEARCH PUBLIC EDUCATION,SECRETARY OF STATE (DEPT OF STATE),4,3802123,1,2427393,6.0,1
