entity_key,parent_key,parent_name,method,confidence,group_size
AC RECOVERY CENTER AND WE,AC RECOVERY CENTER AND WE,AC RECOVERY CENTER AND WE,parent,singleton,1
ACACIA HEIGHTS II LLC,ACACIA HEIGHTS II LLC,ACACIA HEIGHTS II LLC,parent,singleton,1
"ACACIA HEIGHTS III, LLC","ACACIA HEIGHTS III, LLC","ACACIA HEIGHTS III, LLC",parent,singleton,1
ACACIA ONE OWNER LLC,ACACIA ONE OWNER LLC,ACACIA ONE OWNER LLC,parent,singleton,1
ACACIA TWO OWNER LLC,ACACIA TWO OWNER LLC,ACACIA TWO OWNER LLC,parent,singleton,1
ACADEMY DEL SOL INC,ACADEMY DEL SOL INC,ACADEMY DEL SOL INC,parent,singleton,1
ACADEMY OF BUILDING INDUSTRIES INC,ACADEMY OF BUILDING INDUSTRIES INC,ACADEMY OF BUILDING INDUSTRIES INC,parent,singleton,1
ACADEMY OF MATH AND SCIENCE,ACADEMY OF MATH AND SCIENCE,ACADEMY OF MATH AND SCIENCE,parent,singleton,1
ACADEMY OF MATHEMATICS AND SCIENCE SOUTH INC,ACADEMY OF MATHEMATICS AND SCIENCE SOUTH INC,ACADEMY OF MATHEMATICS AND SCIENCE SOUTH INC,parent,singleton,1
ACADEMY OF TUCSON,ACADEMY OF TUCSON,ACADEMY OF TUCSON,parent,singleton,1
ACADEMY WITH COMMUNITY PARTNERS,ACADEMY WITH COMMUNITY PARTNERS,ACADEMY WITH COMMUNITY PARTNERS,parent,singleton,1
ACCEL,ACCEL,ACCEL,parent,singleton,1
ACCELERATED ELEMENTARY AND SECONDARY SCHOOLS,ACCELERATED ELEMENTARY AND SECONDARY SCHOOLS,ACCELERATED ELEMENTARY AND SECONDARY SCHOOLS,parent,singleton,1
"ACCELERATED LEARNING CENTER, INC.","ACCELERATED LEARNING CENTER, INC.","ACCELERATED LEARNING CENTER, INC.",parent,singleton,1
ACCENTURE LLP,ACCENTURE LLP,ACCENTURE LLP,parent,singleton,1
ACCLAIM CHARTER SCHOOL,ACCLAIM CHARTER SCHOOL,ACCLAIM CHARTER SCHOOL,parent,singleton,1
ACCUVANT INC,ACCUVANT INC,ACCUVANT INC,parent,singleton,1
ACE ASPHALT OF ARIZONA INC,ACE ASPHALT OF ARIZONA INC,ACE ASPHALT OF ARIZONA INC,parent,singleton,1
ACENTRA HEALTH LLC,ACENTRA HEALTH LLC,ACENTRA HEALTH LLC,parent,singleton,1
ACHIEVE HUMAN SERVICES,ACHIEVE HUMAN SERVICES,ACHIEVE HUMAN SERVICES,parent,singleton,1
ACHIEVERS DYNAMIC SYSTEM,ACHIEVERS DYNAMIC SYSTEM,ACHIEVERS DYNAMIC SYSTEM,parent,singleton,1
ACHIEVERS DYNAMIC SYSTEMS,ACHIEVERS DYNAMIC SYSTEMS,ACHIEVERS DYNAMIC SYSTEMS,parent,singleton,1
ACLU FOUNDATION OF ARIZONA,ACLU FOUNDATION OF ARIZONA,ACLU FOUNDATION OF ARIZONA,parent,singleton,1
ACME CONCRETE PAVING INC,ACME CONCRETE PAVING INC,ACME CONCRETE PAVING INC,parent,singleton,1
ACORN MONTESSORI CHARTER SCHOOL INC,ACORN MONTESSORI CHARTER SCHOOL INC,ACORN MONTESSORI CHARTER SCHOOL INC,parent,singleton,1
ACQUIRE MED LLC,ACQUIRE MED LLC,ACQUIRE MED LLC,parent,singleton,1
